Entity,Code,Year,Life expectancy at birth (historical),GDP per capita,417485-annotations,Population (historical estimates),Continent
Abkhazia,OWID_ABK,2015,,,,,Asia
Afghanistan,AFG,1950,27.7,1156,,7480464,
Afghanistan,AFG,1951,28,1170,,7571542,
Afghanistan,AFG,1952,28.4,1189,,7667534,
Afghanistan,AFG,1953,28.9,1240,,7764549,
Afghanistan,AFG,1954,29.2,1245,,7864289,
Afghanistan,AFG,1955,29.9,1246,,7971933,
Afghanistan,AFG,1956,30.4,1278,,8087730,
Afghanistan,AFG,1957,30.9,1253,,8210207,
Afghanistan,AFG,1958,31.5,1298,,8333827,
Afghanistan,AFG,1959,32,1307,,8468220,
Afghanistan,AFG,1960,32.5,1326,,8622473,
Afghanistan,AFG,1961,33.1,1309,,8790140,
Afghanistan,AFG,1962,33.5,1302,,8969055,
Afghanistan,AFG,1963,34,1298,,9157463,
Afghanistan,AFG,1964,34.5,1291,,9355510,
Afghanistan,AFG,1965,35,1290,,9565154,
Afghanistan,AFG,1966,35.5,1272,,9783153,
Afghanistan,AFG,1967,35.9,1277,,10010037,
Afghanistan,AFG,1968,36.4,1290,,10247782,
Afghanistan,AFG,1969,36.9,1278,,10494491,
Afghanistan,AFG,1970,37.4,1272,,10752973,
Afghanistan,AFG,1971,37.9,1237,,11015853,
Afghanistan,AFG,1972,38.4,1007,,11286753,
Afghanistan,AFG,1973,39,1011,,11575308,
Afghanistan,AFG,1974,39.5,1039,,11869881,
Afghanistan,AFG,1975,40.1,1074,,12157390,
Afghanistan,AFG,1976,40.6,1105,,12425276,
Afghanistan,AFG,1977,41.2,1022,,12687308,
Afghanistan,AFG,1978,40.3,1070,,12938864,
Afghanistan,AFG,1979,39.1,1023,,12986378,
Afghanistan,AFG,1980,39.6,1019,,12486640,
Afghanistan,AFG,1981,40.2,1144,,11155196,
Afghanistan,AFG,1982,37.8,1270,,10088290,
Afghanistan,AFG,1983,38.2,1347,,9951447,
Afghanistan,AFG,1984,33.3,1337,,10243689,
Afghanistan,AFG,1985,33.6,1304,,10512220,
Afghanistan,AFG,1986,39.4,1344,,10448447,
Afghanistan,AFG,1987,39.8,1211,,10322767,
Afghanistan,AFG,1988,44,1101,,10383459,
Afghanistan,AFG,1989,45.2,999,,10673172,
Afghanistan,AFG,1990,46,963,,10694804,
Afghanistan,AFG,1991,46.7,881.1704,,10745168,
Afghanistan,AFG,1992,47.6,843.8753,,12057436,
Afghanistan,AFG,1993,51.5,578.4027,,14003764,
Afghanistan,AFG,1994,51.5,428.4246,,15455560,
Afghanistan,AFG,1995,52.5,632.9404,,16418911,
Afghanistan,AFG,1996,53.2,600.1753,,17106600,
Afghanistan,AFG,1997,53.6,570.5981,,17788818,
Afghanistan,AFG,1998,52.9,545.0388,,18493134,
Afghanistan,AFG,1999,54.8,518.6579,,19262854,
Afghanistan,AFG,2000,55.3,502.3727,,19542986,
Afghanistan,AFG,2001,55.8,489.682,,19688634,
Afghanistan,AFG,2002,56.5,796.8166,,21000258,
Afghanistan,AFG,2003,57.3,842.8052,,22645136,
Afghanistan,AFG,2004,57.9,869.0393,,23553554,
Afghanistan,AFG,2005,58.4,964.4081,,24411196,
Afghanistan,AFG,2006,58.7,1057.0966,,25442946,
Afghanistan,AFG,2007,59.1,1259.9967,,25903306,
Afghanistan,AFG,2008,59.9,1319.6074,,26427204,
Afghanistan,AFG,2009,60.4,1557.3206,,27385310,
Afghanistan,AFG,2010,60.9,1627.6716,,28189672,
Afghanistan,AFG,2011,61.4,1792,,29249156,
Afghanistan,AFG,2012,61.9,1945,,30466484,
Afghanistan,AFG,2013,62.4,2025,,31541216,
Afghanistan,AFG,2014,62.5,2022,,32716214,
Afghanistan,AFG,2015,62.7,1928,,33753500,Asia
Afghanistan,AFG,2016,63.1,1929,,34636212,
Afghanistan,AFG,2017,63,2014.7452,,35643420,
Afghanistan,AFG,2018,63.1,1934.555,,36686788,
Afghanistan,AFG,2019,63.6,,,37769496,
Afghanistan,AFG,2020,62.6,,,38972236,
Afghanistan,AFG,2021,62,,,40099460,
Afghanistan,AFG,-10000,,,,14737,
Afghanistan,AFG,-9000,,,,20405,
Afghanistan,AFG,-8000,,,,28253,
Afghanistan,AFG,-7000,,,,39120,
Afghanistan,AFG,-6000,,,,54166,
Afghanistan,AFG,-5000,,,,74999,
Afghanistan,AFG,-4000,,,,306250,
Afghanistan,AFG,-3000,,,,537500,
Afghanistan,AFG,-2000,,,,768751,
Afghanistan,AFG,-1000,,,,999998,
Afghanistan,AFG,0,,,,1999997,
Afghanistan,AFG,100,,,,2250002,
Afghanistan,AFG,200,,,,2500001,
Afghanistan,AFG,300,,,,2500001,
Afghanistan,AFG,400,,,,2500001,
Afghanistan,AFG,500,,,,2500001,
Afghanistan,AFG,600,,,,2500001,
Afghanistan,AFG,700,,,,2425001,
Afghanistan,AFG,800,,,,2350008,
Afghanistan,AFG,900,,,,2299999,
Afghanistan,AFG,1000,,,,2250002,
Afghanistan,AFG,1100,,,,2375009,
Afghanistan,AFG,1200,,,,2500001,
Afghanistan,AFG,1300,,,,1749998,
Afghanistan,AFG,1400,,,,1874998,
Afghanistan,AFG,1500,,,,1999997,
Afghanistan,AFG,1600,,,,2500001,
Afghanistan,AFG,1700,,,,2500001,
Afghanistan,AFG,1710,,,,2561614,
Afghanistan,AFG,1720,,,,2619846,
Afghanistan,AFG,1730,,,,2679387,
Afghanistan,AFG,1740,,,,2740283,
Afghanistan,AFG,1750,,,,2802568,
Afghanistan,AFG,1760,,,,2866257,
Afghanistan,AFG,1770,,,,2931400,
Afghanistan,AFG,1780,,,,2998015,
Afghanistan,AFG,1790,,,,3066156,
Afghanistan,AFG,1800,,,,3280000,
Afghanistan,AFG,1801,,,,3280000,
Afghanistan,AFG,1802,,,,3280000,
Afghanistan,AFG,1803,,,,3280000,
Afghanistan,AFG,1804,,,,3280000,
Afghanistan,AFG,1805,,,,3280000,
Afghanistan,AFG,1806,,,,3280000,
Afghanistan,AFG,1807,,,,3280000,
Afghanistan,AFG,1808,,,,3280000,
Afghanistan,AFG,1809,,,,3280000,
Afghanistan,AFG,1810,,,,3280000,
Afghanistan,AFG,1811,,,,3280000,
Afghanistan,AFG,1812,,,,3280000,
Afghanistan,AFG,1813,,,,3280000,
Afghanistan,AFG,1814,,,,3280000,
Afghanistan,AFG,1815,,,,3280000,
Afghanistan,AFG,1816,,,,3280000,
Afghanistan,AFG,1817,,,,3280000,
Afghanistan,AFG,1818,,,,3280000,
Afghanistan,AFG,1819,,,,3282935,
Afghanistan,AFG,1820,,,,3288817,
Afghanistan,AFG,1821,,,,3297661,
Afghanistan,AFG,1822,,,,3309479,
Afghanistan,AFG,1823,,,,3324285,
Afghanistan,AFG,1824,,,,3339157,
Afghanistan,AFG,1825,,,,3354095,
Afghanistan,AFG,1826,,,,3369101,
Afghanistan,AFG,1827,,,,3384173,
Afghanistan,AFG,1828,,,,3399313,
Afghanistan,AFG,1829,,,,3414520,
Afghanistan,AFG,1830,,,,3429796,
Afghanistan,AFG,1831,,,,3445140,
Afghanistan,AFG,1832,,,,3460553,
Afghanistan,AFG,1833,,,,3476034,
Afghanistan,AFG,1834,,,,3491585,
Afghanistan,AFG,1835,,,,3507205,
Afghanistan,AFG,1836,,,,3522896,
Afghanistan,AFG,1837,,,,3538656,
Afghanistan,AFG,1838,,,,3554487,
Afghanistan,AFG,1839,,,,3570389,
Afghanistan,AFG,1840,,,,3586362,
Afghanistan,AFG,1841,,,,3602406,
Afghanistan,AFG,1842,,,,3618522,
Afghanistan,AFG,1843,,,,3634711,
Afghanistan,AFG,1844,,,,3650971,
Afghanistan,AFG,1845,,,,3667305,
Afghanistan,AFG,1846,,,,3683711,
Afghanistan,AFG,1847,,,,3700191,
Afghanistan,AFG,1848,,,,3716745,
Afghanistan,AFG,1849,,,,3734342,
Afghanistan,AFG,1850,,,,3752993,
Afghanistan,AFG,1851,,,,3769828,
Afghanistan,AFG,1852,,,,3787706,
Afghanistan,AFG,1853,,,,3806634,
Afghanistan,AFG,1854,,,,3825655,
Afghanistan,AFG,1855,,,,3844769,
Afghanistan,AFG,1856,,,,3863976,
Afghanistan,AFG,1857,,,,3883276,
Afghanistan,AFG,1858,,,,3902671,
Afghanistan,AFG,1859,,,,3922160,
Afghanistan,AFG,1860,,,,3941745,
Afghanistan,AFG,1861,,,,3961424,
Afghanistan,AFG,1862,,,,3981200,
Afghanistan,AFG,1863,,,,4001072,
Afghanistan,AFG,1864,,,,4021041,
Afghanistan,AFG,1865,,,,4041107,
Afghanistan,AFG,1866,,,,4061270,
Afghanistan,AFG,1867,,,,4081532,
Afghanistan,AFG,1868,,,,4101893,
Afghanistan,AFG,1869,,,,4122358,
Afghanistan,AFG,1870,,,,4142928,
Afghanistan,AFG,1871,,,,4163604,
Afghanistan,AFG,1872,,,,4184386,
Afghanistan,AFG,1873,,,,4205274,
Afghanistan,AFG,1874,,,,4226265,
Afghanistan,AFG,1875,,,,4247357,
Afghanistan,AFG,1876,,,,4268552,
Afghanistan,AFG,1877,,,,4289851,
Afghanistan,AFG,1878,,,,4311253,
Afghanistan,AFG,1879,,,,4332759,
Afghanistan,AFG,1880,,,,4354370,
Afghanistan,AFG,1881,,,,4376086,
Afghanistan,AFG,1882,,,,4397907,
Afghanistan,AFG,1883,,,,4419835,
Afghanistan,AFG,1884,,,,4441869,
Afghanistan,AFG,1885,,,,4464010,
Afghanistan,AFG,1886,,,,4486259,
Afghanistan,AFG,1887,,,,4508616,
Afghanistan,AFG,1888,,,,4531082,
Afghanistan,AFG,1889,,,,4553657,
Afghanistan,AFG,1890,,,,4576341,
Afghanistan,AFG,1891,,,,4599136,
Afghanistan,AFG,1892,,,,4622041,
Afghanistan,AFG,1893,,,,4645058,
Afghanistan,AFG,1894,,,,4668186,
Afghanistan,AFG,1895,,,,4691426,
Afghanistan,AFG,1896,,,,4714779,
Afghanistan,AFG,1897,,,,4738246,
Afghanistan,AFG,1898,,,,4761826,
Afghanistan,AFG,1899,,,,4793171,
Afghanistan,AFG,1900,,,,4832414,
Afghanistan,AFG,1901,,,,4879685,
Afghanistan,AFG,1902,,,,4935122,
Afghanistan,AFG,1903,,,,4998861,
Afghanistan,AFG,1904,,,,5063419,
Afghanistan,AFG,1905,,,,5128808,
Afghanistan,AFG,1906,,,,5195038,
Afghanistan,AFG,1907,,,,5262120,
Afghanistan,AFG,1908,,,,5330065,
Afghanistan,AFG,1909,,,,5467828,
Afghanistan,AFG,1910,,,,5681487,
Afghanistan,AFG,1911,,,,5977589,
Afghanistan,AFG,1912,,,,6363186,
Afghanistan,AFG,1913,,,,6845878,
Afghanistan,AFG,1914,,,,7365181,
Afghanistan,AFG,1915,,,,7923871,
Afghanistan,AFG,1916,,,,8524936,
Afghanistan,AFG,1917,,,,9171589,
Afghanistan,AFG,1918,,,,9875230,
Afghanistan,AFG,1919,,,,10338650,
Afghanistan,AFG,1920,,,,10558857,
Afghanistan,AFG,1921,,,,10531818,
Afghanistan,AFG,1922,,,,10252425,
Afghanistan,AFG,1923,,,,9714452,
Afghanistan,AFG,1924,,,,9204707,
Afghanistan,AFG,1925,,,,8721710,
Afghanistan,AFG,1926,,,,8264058,
Afghanistan,AFG,1927,,,,7830419,
Afghanistan,AFG,1928,,,,7419535,
Afghanistan,AFG,1929,,,,7099916,
Afghanistan,AFG,1930,,,,6866773,
Afghanistan,AFG,1931,,,,6715569,
Afghanistan,AFG,1932,,,,6642004,
Afghanistan,AFG,1933,,,,6642004,
Afghanistan,AFG,1934,,,,6642004,
Afghanistan,AFG,1935,,,,6642004,
Afghanistan,AFG,1936,,,,6642004,
Afghanistan,AFG,1937,,,,6642004,
Afghanistan,AFG,1938,,,,6642004,
Afghanistan,AFG,1939,,,,6662371,
Afghanistan,AFG,1940,,,,6703416,
Afghanistan,AFG,1941,,,,6765457,
Afghanistan,AFG,1942,,,,6848816,
Afghanistan,AFG,1943,,,,6953820,
Afghanistan,AFG,1944,,,,7060433,
Afghanistan,AFG,1945,,,,7168681,
Afghanistan,AFG,1946,,,,7278589,
Afghanistan,AFG,1947,,,,7390182,
Afghanistan,AFG,1948,,,,7503485,
Afghanistan,AFG,1949,,,,7624058,
Africa,,1770,26.4,,,77667559,
Africa,,1950,37.6,,,227549730,
Africa,,1951,37.9,,,232484439,
Africa,,1952,38.4,,,237586485,
Africa,,1953,38.9,,,242837870,
Africa,,1954,39.3,,,248245229,
Africa,,1955,39.8,,,253848117,
Africa,,1956,40.2,,,259631766,
Africa,,1957,40,,,265515596,
Africa,,1958,40.3,,,271429963,
Africa,,1959,41.3,,,277648583,
Africa,,1960,41.5,,,284288223,
Africa,,1961,41.9,,,291177974,
Africa,,1962,42.3,,,298334455,
Africa,,1963,42.8,,,305755585,
Africa,,1964,43.2,,,313466087,
Africa,,1965,43.4,,,321447378,
Africa,,1966,43.4,,,329658389,
Africa,,1967,43.6,,,338159967,
Africa,,1968,44.1,,,346980412,
Africa,,1969,44.3,,,356070643,
Africa,,1970,44.8,,,365450443,
Africa,,1971,45.3,,,375086296,
Africa,,1972,45.4,,,384930776,
Africa,,1973,46.2,,,395212420,
Africa,,1974,46.5,,,406069208,
Africa,,1975,46.9,,,417556976,
Africa,,1976,47.6,,,429573262,
Africa,,1977,48.2,,,441701768,
Africa,,1978,48.6,,,454463053,
Africa,,1979,49.1,,,467976240,
Africa,,1980,49.5,,,481543145,
Africa,,1981,49.9,,,495655683,
Africa,,1982,50.3,,,510540596,
Africa,,1983,49.6,,,525335348,
Africa,,1984,49.7,,,540183119,
Africa,,1985,50.1,,,555652995,
Africa,,1986,50.6,,,571646786,
Africa,,1987,50.9,,,588080029,
Africa,,1988,50.4,,,604511530,
Africa,,1989,51.7,,,621167964,
Africa,,1990,51.6,,,638157571,
Africa,,1991,51.5,,,655040869,
Africa,,1992,51.2,,,671931834,
Africa,,1993,51.5,,,689140286,
Africa,,1994,50.5,,,706488557,
Africa,,1995,52.1,,,724331972,
Africa,,1996,52.1,,,742765067,
Africa,,1997,52.3,,,761224818,
Africa,,1998,51.9,,,779908311,
Africa,,1999,52.8,,,799099611,
Africa,,2000,53.3,,,818952374,
Africa,,2001,53.6,,,839464127,
Africa,,2002,54,,,860611762,
Africa,,2003,54.4,,,882349569,
Africa,,2004,54.9,,,904781595,
Africa,,2005,55.5,,,927898412,
Africa,,2006,56.1,,,951740562,
Africa,,2007,56.7,,,976461747,
Africa,,2008,57.3,,,1001981577,
Africa,,2009,58,,,1028200528,
Africa,,2010,58.6,,,1055233717,
Africa,,2011,59.3,,,1082676070,
Africa,,2012,59.8,,,1110797495,
Africa,,2013,60.3,,,1140180888,
Africa,,2014,60.7,,,1170299297,
Africa,,2015,61.1,,,1201108186,
Africa,,2016,61.6,,,1232111820,
Africa,,2017,62,,,1263333997,
Africa,,2018,62.3,,,1295265310,
Africa,,2019,62.7,,,1327701380,
Africa,,2020,62.2,,,1360677453,
Africa,,2021,61.7,,,1393676724,
Africa,,-10000,,,,227636,
Africa,,-9000,,,,323059,
Africa,,-8000,,,,462991,
Africa,,-7000,,,,670044,
Africa,,-6000,,,,979129,
Africa,,-5000,,,,1444530,
Africa,,-4000,,,,2251144,
Africa,,-3000,,,,4007555,
Africa,,-2000,,,,6064655,
Africa,,-1000,,,,8992394,
Africa,,0,,,,14807683,
Africa,,100,,,,16184505,
Africa,,200,,,,17752997,
Africa,,300,,,,18711186,
Africa,,400,,,,19971117,
Africa,,500,,,,21483436,
Africa,,600,,,,23483741,
Africa,,700,,,,27061442,
Africa,,800,,,,31602869,
Africa,,900,,,,35593708,
Africa,,1000,,,,39673676,
Africa,,1100,,,,42223461,
Africa,,1200,,,,45290423,
Africa,,1300,,,,50658354,
Africa,,1400,,,,54510518,
Africa,,1500,,,,58251581,
Africa,,1600,,,,68167021,
Africa,,1700,,,,74806028,
Africa,,1710,,,,74126812,
Africa,,1720,,,,74594175,
Africa,,1730,,,,75107083,
Africa,,1740,,,,75667301,
Africa,,1750,,,,76278087,
Africa,,1760,,,,76943010,
Africa,,1780,,,,78459476,
Africa,,1790,,,,79313390,
Africa,,1800,,,,81271175,
Africa,,1801,,,,81313551,
Africa,,1802,,,,81418900,
Africa,,1803,,,,81525621,
Africa,,1804,,,,81633731,
Africa,,1805,,,,81743247,
Africa,,1806,,,,81854174,
Africa,,1807,,,,81966528,
Africa,,1808,,,,82080332,
Africa,,1809,,,,82195596,
Africa,,1810,,,,82385589,
Africa,,1811,,,,82440934,
Africa,,1812,,,,82579573,
Africa,,1813,,,,82729616,
Africa,,1814,,,,82891459,
Africa,,1815,,,,83065241,
Africa,,1816,,,,83251124,
Africa,,1817,,,,83449261,
Africa,,1818,,,,83659804,
Africa,,1819,,,,83954434,
Africa,,1820,,,,84416702,
Africa,,1821,,,,84811641,
Africa,,1822,,,,85376766,
Africa,,1823,,,,86056105,
Africa,,1824,,,,86755919,
Africa,,1825,,,,87476538,
Africa,,1826,,,,88218276,
Africa,,1827,,,,88981474,
Africa,,1828,,,,89766472,
Africa,,1829,,,,90573904,
Africa,,1830,,,,91494029,
Africa,,1831,,,,92257560,
Africa,,1832,,,,93125349,
Africa,,1833,,,,94007792,
Africa,,1834,,,,94904834,
Africa,,1835,,,,95816766,
Africa,,1836,,,,96743850,
Africa,,1837,,,,97686357,
Africa,,1838,,,,98644581,
Africa,,1839,,,,99638115,
Africa,,1840,,,,100772650,
Africa,,1841,,,,101734515,
Africa,,1842,,,,102839146,
Africa,,1843,,,,103982621,
Africa,,1844,,,,105146559,
Africa,,1845,,,,106331394,
Africa,,1846,,,,107537534,
Africa,,1847,,,,108765412,
Africa,,1848,,,,110015469,
Africa,,1849,,,,111156406,
Africa,,1850,,,,112295370,
Africa,,1851,,,,112846162,
Africa,,1852,,,,113385258,
Africa,,1853,,,,113801930,
Africa,,1854,,,,114222280,
Africa,,1855,,,,114646381,
Africa,,1856,,,,115074281,
Africa,,1857,,,,115506066,
Africa,,1858,,,,115941807,
Africa,,1859,,,,116390242,
Africa,,1860,,,,117016275,
Africa,,1861,,,,117325088,
Africa,,1862,,,,117811414,
Africa,,1863,,,,118310277,
Africa,,1864,,,,118812918,
Africa,,1865,,,,119319375,
Africa,,1866,,,,119829679,
Africa,,1867,,,,120343860,
Africa,,1868,,,,120861940,
Africa,,1869,,,,121396213,
Africa,,1870,,,,122130573,
Africa,,1871,,,,122512483,
Africa,,1872,,,,123096528,
