"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6283.00144344602","7567.25364168664","9274.51415613905","10767.3962204623","11638.7337057728","12850.2157123975","13657.6706444765","14970.1523419526","16675.2784883673","17140.4333687405","17375.2253063755","18713.4253880988","19742.3167386832","19833.8267458639","21023.1575127316","20913.2994971137","21377.0951851076","22050.8309318377","24104.6461765229","24975.6732567007","25833.445623022","27665.4264651752","29011.5592450359","25739.1372506975","24452.9283634427","26044.4359333351","25609.9557239373","26515.678080228","26942.3079764655","28421.3864931862","28451.2737445083","29326.7080582111","30220.5945232395","31650.7605367511","24487.8635601966","29342.1008575886",
"Africa Eastern and Southern","AFE","GDP per capita (current US$)","NY.GDP.PCAP.CD","162.907575600115","162.546236237859","171.996696524259","199.182563740135","179.381787998431","198.223725633731","209.407648251828","211.699966408401","224.232269419195","249.580769820476","260.112367933856","278.752405253723","293.075994931136","370.414638118579","444.717963926224","459.896340163853","444.075684766247","489.846966951667","530.372947888349","600.371094147825","738.873981812624","732.91885914001","681.650923427465","691.985452306824","615.411335878228","508.69498570539","552.536452041812","654.316006458531","697.217760088721","722.427496123105","817.148590996453","858.297836269341","728.765774345736","704.742867795043","697.183018306666","762.843520653108","739.468396383995","757.852239923975","696.374223795512","669.691425131614","706.992061499618","628.204190987065","626.559857118868","812.946403678434","985.530234702093","1120.44678810807","1226.18248018982","1369.80942676893","1428.33486534173","1411.57515888916","1643.55049467824","1792.84742828716","1760.21622940618","1731.79597586613","1719.80919035642","1540.85035410697","1432.11182684485","1613.78855537557","1550.18056734463","1500.22927438203","1353.7691597287","1537.3360209254",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","62.3693745050559","62.4437034626929","60.9503638210144","82.0217375781519","85.5110734102311","105.243195716467","143.103233209791","167.165674606148","134.012768293881","134.250359614672","162.642175409527","166.224831269243","141.36532229912","149.74406846683","181.59877600924","194.66903621844","205.674096714917","232.778698777445","255.045622164367","284.755531712597","291.649791044155","311.853617000053","","","","","","","","","","","","","","","","","","","","","183.532775237202","200.462566743838","221.657604182947","255.05511997846","274.000486471348","375.078128065393","387.849174300047","443.845150536332","554.595200222354","621.912310861592","663.141052810937","651.987861948108","628.146803888496","592.476537451681","520.252064031151","530.149830802984","502.056770622973","500.522664145294","516.866552182696","368.754614175459",
"Africa Western and Central","AFW","GDP per capita (current US$)","NY.GDP.PCAP.CD","106.976474931853","112.047561307443","117.730633160077","122.278714987374","130.599962606932","137.186142289974","142.895374978871","127.303605673801","128.365494363122","142.325903856849","193.573356154294","167.552524480805","198.368024226382","239.530291094921","330.072417730672","374.011272538494","439.827935010613","450.067013003358","477.188530059106","577.535479884458","709.842397337791","1299.89641106073","1120.58396022091","805.023662801527","649.018761512478","644.336990404963","578.814350154625","578.327730569237","555.919881075057","505.326338732086","589.158848993721","553.591280313621","542.663527078269","441.605589067083","375.667585110592","458.834219691584","519.252220900353","510.885533657977","509.258402107974","524.095110345159","520.786583767401","529.584938942083","619.773282317197","697.905290822087","841.357960964114","1000.86958105037","1241.8519002881","1417.60505010147","1681.47767951697","1463.39329309204","1675.73957223421","1856.68766916914","1953.40703302973","2149.29521922384","2243.2714641609","1876.62348318848","1645.02376743667","1585.91193032787","1731.31179201546","1749.30331701118","1683.43639098491","1757.03062622138",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","711.941169235015","643.052851443849","620.363109508475","623.533932500336","637.519759416351","757.581745332071","684.443522551906","755.921911802631","792.861086171426","891.74359219596","949.286381342915","867.123434650279","657.653383733607","442.445234039","329.691784054774","398.120222507968","523.274939810066","514.309886597359","423.393452775682","387.689414798423","556.88424373456","527.463201835885","872.657771693749","982.805600622396","1254.69556291539","1900.72472515377","2597.96268151603","3121.35047480325","4081.71500392279","3123.69758573592","3496.78479608032","4511.15322719034","4962.55207190082","5101.98387641128","5059.08044128816","3100.83068530533","1709.51553404553","2283.21423255725","2487.50099555267","2142.23875712854","1603.99347745326","1953.53375721508",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","639.484735848211","639.865909445734","693.873474633887","674.793383069492","652.774321396566","697.995596576519","617.230435515505","336.586994504629","200.852219772323","367.279225077581","586.416339644261","750.604449178826","1009.97727483821","717.380047745673","813.789396580449","1033.24253162418","1126.68334010717","1281.6598256178","1425.12421860142","1846.12012081207","2373.58129170055","2673.78658429559","2972.74292399799","3595.03805682893","4370.5399247769","4114.13489916342","4094.34838574494","4437.14261222684","4247.63004748194","4413.06200528903","4578.63320812155","3952.80253807527","4124.05538986272","4531.0193737689","5287.66369446913","5396.21586434732","5332.16047456847","6492.87201224634",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3958.67100126366","4193.31302688685","4967.07392887548","6182.92554414795","7174.50664458731","7964.0827198557","7758.6203529986","8207.70148762917","9455.66702184087","12054.8981945886","12535.9047997815","10516.0929868045","9738.74181002803","8108.96895890967","7825.10346597477","7914.76556814698","10569.0295808767","12833.3452169012","14529.0598773825","15404.0421463689","19209.7758382742","19968.4053625265","21123.4336867331","17023.2225809834","16671.0212548517","18731.5502032951","19080.3210848024","18252.3309843121","18591.9123403358","18884.7202061581","21620.4850212897","22809.291868131","24783.8364972969","31955.3880187598","37629.1289563453","39584.9157466551","43086.499827003","50565.4564814851","53719.421266769","49753.6906002629","48238.4660955595","51429.1919196159","44904.5800426279","44750.4356804443","45682.2462308595","38885.3760140905","39932.1644867147","40632.4843928243","42903.4435794631","41327.5020305489","37207.4938608348","42137.3272710372",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","302.59958029223","320.530765536413","352.313711948432","395.630870149153","458.169283532918","564.754671324172","1039.62471282132","1113.94803800967","1338.81298638537","1493.66239183553","1589.30293605172","2090.0899487149","2741.74090703852","2738.13879326639","2486.90095118727","2270.02296663163","2239.65946794824","2140.77384121871","2015.60634414536","2119.37776925596","1990.58453806642","2081.18030508524","2850.8185069422","2042.67020124607","2002.60465008192","1986.7410699464","2034.35251121142","2173.7712771284","2344.66030916405","2469.86809625122","2348.94243970448","2539.94488622793","2842.61927232181","2720.51742733888","2676.90957760396","2896.05482369641","3371.90099475959","4048.84557785748","4679.87818504865","5303.83821640281","6501.82671201089","5562.24770953788","6385.35600081066","6826.51552045643","7327.26882603476","7307.37301728693","7276.42899854934","6245.78778494805","6062.68155691884","6132.42835385013","6474.29534015992","6384.39049221952","5544.63091810704","6266.35991574864",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","27090.23748238","31282.5499669519","35186.2320379881","29526.7218766122","34372.1662980083","42994.7580874356","44841.2297397817","39921.6329798234","34586.5318099776","31955.1812468733","29432.8312066844","23111.3783815158","23088.2041692835","21545.4555840533","23141.014774712","26682.8498094612","25668.4933214662","25630.0809730927","25019.372357889","25463.4962885063","27010.6781857038","28596.5068287975","28709.2469206781","25905.8433836172","27261.9065733158","31855.5006047175","29909.0094348435","30221.9669995136","32607.3729348287","37017.736365469","42190.5543794633","45339.5851165809","43918.3801694265","45140.7690772438","31722.5887637992","34165.9133053315","40893.0233597739","44386.7860789846","45729.6076756823","46865.9645983676","41525.1389031283","41054.5395699204","43063.9674770763","46722.2687183733","45376.1708381558","37629.1741687956","44315.5541834116",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1163.18683603872","855.275656468141","1179.50409817873","1285.26079940373","1277.96841867454","1065.89852048502","1143.81042781121","1331.6397093432","1324.68528828362","1374.42423270049","1411.17666431069","2100.03058748674","2846.26630742503","2026.57070900355","1946.32939085275","2125.53221974145","2139.63793045529","2510.58557617376","2746.20748417286","2763.37518192638","2914.91825147004","3539.45678157511","2651.22954229727","2919.28358505293","3607.82056111587","3559.21895925195","3982.4444020235","2382.56095118242","4330.95944095164","5730.72380988423","6815.61828975463","6957.41749889251","7464.4747368819","7383.70450960064","7690.15700254783","8176.77119517435","8250.67317414321","7735.32208018486","7666.51783423783","7168.97587232911","2579.48876933284","3333.15290388997","4258.16026060875","5086.62776073134","5890.97800169795","7210.59554755899","8977.50685093365","8184.38988923991","10385.9644319555","12848.8641969705","13082.664325572","13080.2547323367","12334.7982453893","13789.060424772","12790.2424732447","14613.041824658","11795.1593866287","9963.6725062053","8496.42414176374","10636.1201956183",
